127.0.0.1 - - [26/Sep/2017:05:42:09 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:13 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:13 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:13 -0700] "GET /ecommerce1/resources/images/lamborgini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:14 -0700] "GET /ecommerce1/resources/images/047.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:14 -0700] "GET /ecommerce1/resources/images/bokert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:15 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:15 -0700] "HEAD /ecommerce1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:15 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:52 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:54 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:42:54 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:36 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:36 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:36 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/lamborgini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/images34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/images3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/index12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/index1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/a0e0cf23f1df5486e368d0f564622aa9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:55 -0700] "GET /ecommerce1/resources/images/product/images3458.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:57 -0700] "HEAD /ecommerce1/lamborgini HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:43:57 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 10192
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:44:16 -0700] "GET /ecommerce1/user/addCart/75 HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:44:20 -0700] "HEAD /ecommerce1/user/addCart/75 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2017:05:44:20 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
