127.0.0.1 - - [09/Oct/2017:08:36:19 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /ecommerce1/resources/images/lamborgini.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /ecommerce1/resources/images/047.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /ecommerce1/resources/images/bokert.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:23 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:24 -0700] "HEAD /ecommerce1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:36:24 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:44 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:46 -0700] "HEAD /ecommerce1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:46 -0700] "GET /ecommerce1/login HTTP/1.1" 200 3955
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:47 -0700] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:47 -0700] "GET /ecommerce1/ HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:47 -0700] "GET /ecommerce1/home1.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:56 -0700] "GET /ecommerce1/lamborgini HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [09/Oct/2017:08:37:56 -0700] "GET /ecommerce1/resources/images/product/lamborgini.jpg HTTP/1.1" 304 -
