127.0.0.1 - - [21/Sep/2017:15:09:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:36 +0530] "GET /ecommerce1/ HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:36 +0530] "GET /ecommerce1/resources/images/final.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/h1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/h2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/ASUS_zenfone_3_Max__L_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/h3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/Xiaomi-Redmi-Note4-grey-med.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/J7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:37 +0530] "GET /ecommerce1/resources/images/nokia.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:50 +0530] "GET /ecommerce1/login HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:52 +0530] "POST /ecommerce1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:52 +0530] "GET /ecommerce1/ HTTP/1.1" 200 7831
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:56 +0530] "GET /ecommerce1/user/view/cart HTTP/1.1" 200 5133
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:56 +0530] "GET /ecommerce1/resources/images/product/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Sep/2017:15:10:56 +0530] "GET /ecommerce1/resources/images/product/my-galaxy-j7-2016-j710gn-sm-j710gzduxme-000000001-front-gold.jpg HTTP/1.1" 304 -
